organization_id,OrganizationName,specialty,procedure_id,procedure_name,protocol_id,protocol_name,status,codes,material_id,material_name,material_type,material_subtype,manufacturer,price,hold,article_number,surgeon_specific_action,surgeon_name,surgeon_surname
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,86853,Red Videne,DISPOSABLE,LIQUIDS_MEDICINES,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87005,Green Needle,DISPOSABLE,,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87037,Pain procedure pack,DISPOSABLE,DRAPING,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87039,Cosmopore,DISPOSABLE,WOUNDCARE,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87228,Depomedrone 80mg,DISPOSABLE,LIQUIDS_MEDICINES,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87251,Luer Lock Syringe 5ml,DISPOSABLE,,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87255,Luer Lock Syringe 2ml,DISPOSABLE,,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87480,chirocaine 0.25%,DISPOSABLE,LIQUIDS_MEDICINES,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,109411,Drape 9029,DISPOSABLE,DRAPING,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,109535,Medium Trolley,INSTRUMENT,,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,109536,Spinal Needle 22GA 178mm,DISPOSABLE,,,,1,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,109537,Spinal needle 22GA 90mm,DISPOSABLE,,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,86853,Red Videne,DISPOSABLE,LIQUIDS_MEDICINES,,,0,,DEFAULT,Dr.,Udwandia
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87005,Green Needle,DISPOSABLE,,,,0,,ADDED,Dr.,Udwandia
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87037,Pain procedure pack,DISPOSABLE,DRAPING,,,0,,DEFAULT,Dr.,Udwandia
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87039,Cosmopore,DISPOSABLE,WOUNDCARE,,,0,,DEFAULT,Dr.,Udwandia
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87228,Depomedrone 80mg,DISPOSABLE,LIQUIDS_MEDICINES,,,0,,DEFAULT,Dr.,Udwandia
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87251,Luer Lock Syringe 5ml,DISPOSABLE,,,,0,,DEFAULT,Dr.,Udwandia
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87255,Luer Lock Syringe 2ml,DISPOSABLE,,,,0,,DEFAULT,Dr.,Udwandia
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,87480,chirocaine 0.25%,DISPOSABLE,LIQUIDS_MEDICINES,,,0,,DEFAULT,Dr.,Udwandia
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,109411,Drape 9029,DISPOSABLE,DRAPING,,,0,,DEFAULT,Dr.,Udwandia
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,109535,Medium Trolley,INSTRUMENT,,,,0,,DEFAULT,Dr.,Udwandia
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,109536,Spinal Needle 22GA 178mm,DISPOSABLE,,,,1,,DEFAULT,Dr.,Udwandia
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,98,Spinal Injection,8593,Spinal Injection,Published,,109537,Spinal needle 22GA 90mm,DISPOSABLE,,,,0,,DEFAULT,Dr.,Udwandia
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,134,Achilles Tendon Repair,8276,Achilles Tendon Repair,Published,,85423,Light handles,DISPOSABLE,,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,134,Achilles Tendon Repair,8276,Achilles Tendon Repair,Published,,85431,Diathermy Device,OTHER,DEVICE,,,0,,DEFAULT,,
b23d4475-e7c9-4c57-a017-61f82113e265,Rochdale Infirmary,ORTHOPEDIC_SURGERY,134,Achilles Tendon Repair,8276,Achilles Tendon Repair,Published,,85433,Suction Device,OTHER,DEVICE,,,0,,DEFAULT,,
