,default_cost,avg_surgeon_cost,optimized_materials,optimized_cost
295,4728.0,2183.688235294118,"{'suction and irrigation': np.float64(201.59), 'vicryl rapide 2-0 (9941)': np.float64(92.74), 'curved enseal 37cm': np.float64(29.5), 'syringe 10ml': np.float64(7.99), 'enseal': np.float64(26.5), 'trocar cff73 12 mm x 100 mm': np.float64(3.79), 'spackman': np.float64(28.5), 'dual port 5mm with trocar': np.float64(32.630632299184256), 'gynae laparoscopy tray': np.float64(36.58811934304523), 'handschoenen': np.float64(26.49), 'smoke filter/megadyne': np.float64(27.5), 'miss ahmad laparoscopic extra trays': np.float64(35.84), 'light handles': np.float64(11.99), 'vicryl rapide 3-0': np.float64(56.34), 'verres needle': np.float64(133.37), 'long spencer wells': np.float64(36.84), 'naald groen': np.float64(21.99), 'saline': np.float64(7.01), 'tray laparoscopie basis': np.float64(6.9), 'laparoscopic scissors': np.float64(27.5), 'balloon dual port 5mm (cfr12)': np.float64(29.5), 'j vicryl (9335)': np.float64(91.74), 'bowel sizers': np.float64(35.84), 'port 12mm ( cff73)': np.float64(29.5), 'general laparoscopy tray': np.float64(32.84), 'spuit 10ml': np.float64(3.79), 'opt.str. 10mm 0 gr +lichtk gyn': np.float64(130.3), 'instrument pouch': np.float64(82.37), 'skin glue': np.float64(13.18), 'modular bipolar instrument tray': np.float64(34.84), 'gynae laparoscopy pack': np.float64(2.9), 'endoclose': np.float64(31.5), 'pds 2-0 ct-1 pdp339': np.float64(56.99), 'in-out catheter': np.float64(273.61), 'prolene 2-0 on straight needle (8571)': np.float64(92.74), 'anti-fog': np.float64(7.25), 'syringe 20ml': np.float64(9.99), 'vicryl rapide 2-0': np.float64(92.74), 'harmonic scalpel': np.float64(200.59), 'ropivacaïne 150mg/20ml (naropin)': np.float64(5.25), 'layhey': np.float64(38.84), 'laparoscopisch eug net': np.float64(32.84), 'chloraprep stick large': np.float64(2.25), 'monocryl 3-0 (3213}': np.float64(87.74), 'antifog ultrastop 30ml': np.float64(4.74), 'balloon port 12 mm (cor47)': np.float64(27.5), 'vicryl rapide 4-0 fs2': np.float64(55.99), 'harmonic handpiece': np.float64(36.84), 'j vicryl ((9335)': np.float64(90.74), 'd&c tray': np.float64(37.84), 'laparoscopic leyhey': np.float64(37.84), 'port non-balloon 5mm (ctr12)': np.float64(28.5), 'port with trocar 12mm': np.float64(32.49484767655288), 'naald roze': np.float64(8.79)}",2632.003599318782
564,1796.24,1235.8933333333334,"{'vicryl rapide 2-0 (9941)': np.float64(92.74), 'blade 10': np.float64(11.99), 'atrauman': np.float64(35.27), 'miss ahmed spencer wells tray': np.float64(45.64), 'd&c pack': np.float64(5.08), 'major vaginal pack': np.float64(28.77), 'general tray': np.float64(26.3), 'diathermy device': np.float64(433.7103342165399), 'blade 15': np.float64(12.740748744731107), 'blue hypodermic': np.float64(54.97), 'discarder pad': np.float64(51.97), 'handheld diathermy': np.float64(277.61), 'vaginal hysterectomy tray': np.float64(43.64), 'vicryl 2-0 (9136)': np.float64(53.34), 'd&c tray': np.float64(37.84), 'vicryl rapide 3-0 (9923)': np.float64(55.34)}",1266.951082961271
1156,3434.5600000000004,2556.711111111111,"{'suction and irrigation': np.float64(201.59), 'curved enseal 37cm': np.float64(29.5), 'vicryl rapide 2-0 9941': np.float64(53.34), 'syringe 10ml': np.float64(7.99), 'pink port 8 mm (coq19)': np.float64(30.5), 'pds 0 (j) 9333': np.float64(56.34), 'vicryl 2-0 (9713)': np.float64(59.34), 'gynae laparoscopy tray': np.float64(32.84), 'j vicryl 1 (9335)': np.float64(53.34), 'handschoenen': np.float64(26.49), 'smoke filter/megadyne': np.float64(27.5), 'light handles': np.float64(11.99), 'shielded trocar en canule (8mm x100 mm)': np.float64(7.79), 'vicryl rapide 3-0': np.float64(57.34), 'verres needle': np.float64(133.37), 'long spencer wells': np.float64(32.84), 'naald groen': np.float64(21.99), 'port 11mm with trocar': np.float64(28.5), 'filshie clip applicator': np.float64(12.79), 'tray laparoscopie basis': np.float64(8.798351871227567), 'j vicryl (9335)': np.float64(89.74), 'port 5mm': np.float64(30.5), 'port 5mm with trocar': np.float64(26.5), 'vicryl rapide 3-0 (9925)': np.float64(57.34), 'balloon port 12mm and trocar': np.float64(29.5), 'general laparoscopy tray': np.float64(32.84), 'spuit 10ml': np.float64(9.195481125599116), 'opt.str. 10mm 0 gr +lichtk gyn': np.float64(132.0016500113053), 'instrument pouch': np.float64(82.37), 'gynae laparoscopy pack': np.float64(2.9), 'spackman manipulator': np.float64(27.5), 'in-out catheter': np.float64(273.61), 'anti-fog': np.float64(7.25), 'harmonic scalpel': np.float64(200.59), 'syringe 20ml': np.float64(9.99), 'dual port 5mm': np.float64(34.5), 'monocryl 3-0 (3213)': np.float64(52.34), 'ropivacaïne 150mg/20ml (naropin)': np.float64(5.25), 'sterishot applicator': np.float64(26.5), 'chloraprep stick large': np.float64(2.25), 'antifog ultrastop 30ml': np.float64(6.171689586449389), 'balloon port 12 mm (cor47)': np.float64(30.763176459321116), 'chlora-prep stick': np.float64(10.88), 'harmonic handpiece': np.float64(36.84), 'laparoscopie net gyn': np.float64(136.24), 'filshie clips': np.float64(29.5), 'd&c tray': np.float64(37.84), 'normal saline': np.float64(13.35), 'naald roze': np.float64(8.79)}",2337.2203490539027
1732,3712.4800000000005,3521.1244444444446,"{'suction and irrigation': np.float64(201.59), 'vicryl rapide 2-0 (9941)': np.float64(88.74), 'curved enseal 37cm': np.float64(31.37942574884876), 'chloraprep stick': np.float64(5.88), 'balloon port 12mm and trocar': np.float64(31.5), 'port 12mm ( cff73)': np.float64(29.5), 'luer lock syringe 10ml': np.float64(32.6), 'spackman': np.float64(28.5), 'dual port 5mm with trocar': np.float64(30.5), 'general laparoscopy tray': np.float64(32.84), 'instrument pouch': np.float64(82.37), 'skin glue': np.float64(11.18), 'gynae laparoscopy pack': np.float64(2.9), ""miss ahmad's laparoscopic extras tray"": np.float64(34.99), 'curved enseal': np.float64(26.5), 'in-out catheter': np.float64(273.61), 'prolene 2-0 on straight needle (8571)': np.float64(94.74), 'laparoscopic scissors': np.float64(27.5), 'anti-fog': np.float64(7.25), 'syringe 20ml': np.float64(9.99), 'harmonic scalpel': np.float64(200.59), 'light handles': np.float64(11.99), 'balloon 2x5mm ports': np.float64(31.5), 'megadyne smoke extractor': np.float64(433.16), 'monocryl 3-0 mcp3213h': np.float64(33.89), 'verres needle': np.float64(133.37), 'long spencer wells': np.float64(32.84), 'balloon port 12 mm (cor47)': np.float64(27.5), 'harmonic handpiece': np.float64(36.84), 'port 11mm with trocar': np.float64(31.5), 'normal saline': np.float64(13.35), 'vicryl rapide 3-0 (9935)': np.float64(53.34), 'd&c tray': np.float64(37.84), 'vicryl rapide 3-0 (9923)': np.float64(55.34), 'port with trocar 12mm': np.float64(31.5), 'j vicryl (9335)': np.float64(89.74)}",2338.3494257488487
1152,11540.779999999999,11870.02,"{'camera drape': np.float64(8.38), 'operatiejas l standaard': np.float64(26.26760941294802), 'gazen 10x10 kliniray': np.float64(10.87679850286608), 'curettage net': np.float64(35.96), 'pedal bucket': np.float64(242.61), 'd&c pack': np.float64(6.08), 'fluent system': np.float64(432.37), 'loop electrode': np.float64(289.5), 'ball electrode': np.float64(287.49184422696726), 'bipolar resectoscope': np.float64(250.88), 'hysteroscope 5.5mm': np.float64(255.87288271747974), 'handschoenen': np.float64(26.49), 'fine hagar dilators': np.float64(246.88), 'diagn. hysteroscopie set': np.float64(132.2996323970893), 'suction device': np.float64(445.07), 'fluid pouch': np.float64(291.5), 'myosure reach/lite/xl': np.float64(250.88), 'myosure bungs': np.float64(287.5), 'foot pedal': np.float64(243.61), 'sodium chloride 3 litre': np.float64(6.07), '1 liter drukzak': np.float64(435.82), 'suction tube': np.float64(290.5), 'sodium chloride 1 litre': np.float64(11.01), 'pressure bag': np.float64(129.3), 'fys.zout 1000 ml zak (nacl)': np.float64(6.91), 'novasure handpiece': np.float64(292.5), 'hysteroscope 2.9mm': np.float64(247.88), 'novasure machine': np.float64(439.36056385310815), 'camera hoes 15x250 cm 17539': np.float64(12.97), 'under buttock pouch': np.float64(5.38), 'suction tubing': np.float64(8.99), 'irrigation giving set': np.float64(287.5), 'spoelsysteem tur groot (irrigatie set) e5mc4002': np.float64(8.4022923872989), 'green hypodermic': np.float64(175.65), 'myosure machine': np.float64(430.37), 'd&c tray': np.float64(37.84), 'afdekdoek 9069e (75x90)': np.float64(19.89)}",6616.861623497759
31,7728.679999999999,8106.38,"{'pledgets': np.float64(172.17), '2-0 perma-hand silk 1689h': np.float64(105.02), 'abdo swab 30x30': np.float64(152.31), 'czerny retractor': np.float64(103.31), 'lead connected': np.float64(103.31), 'chloraprep™': np.float64(10.13), 'skin marker and ruler': np.float64(153.31), 'monopolar forceps': np.float64(152.31), 'lanes retractor': np.float64(108.31), 'flowtron boots': np.float64(151.31), 'diathermy tip': np.float64(175.17), 'blue surgipad': np.float64(151.31), 'suction tubing': np.float64(8.99), 'major breast tray': np.float64(104.31), '2-0 monocryl plus mcp3440g': np.float64(102.02), 'general medium pack': np.float64(4.97), 'diathermy machine': np.float64(446.07), 'breast arm board': np.float64(137.5), 'suction device': np.float64(445.07), 'light handle - small': np.float64(154.31), 'camera sleeve': np.float64(151.31), 'hypodermic green': np.float64(156.31), 'joseph skin hooks': np.float64(108.31), 'blue ligaclip cartridge': np.float64(156.31), 'yankuer suction': np.float64(153.31), 'safeair diathermy': np.float64(156.30306991730743), 'pencilette': np.float64(151.31), 'bladder syringe': np.float64(156.31), 'skin glue optima': np.float64(152.31), '3-0 monocryl plus mcp683h': np.float64(106.02), '3-0 stratafix sxmp1b103': np.float64(107.02), 'jug': np.float64(77.37), '6x4 swab': np.float64(152.31)}",4725.7130699173085
235,23128.420000000002,23872.850000000002,"{'bipolar forceps': np.float64(108.31), '2-0 perma-hand silk 1689h': np.float64(105.02), 'biopatch': np.float64(67.16), 'small epidural opsite': np.float64(66.16), '15f blake drain': np.float64(173.17), '10 mls syringe': np.float64(175.17), 'back support': np.float64(131.2), '10f blake drain': np.float64(171.17), 'skin marker and ruler': np.float64(153.31), 'soft tissue tray': np.float64(129.1), '3-0 stratafix sxmp1b103': np.float64(106.02), '3- way tap': np.float64(170.17), 'pillow': np.float64(132.2), 'breast arm board': np.float64(137.5), 'hypodermic blue': np.float64(151.31), 'suction device': np.float64(445.07), 'light handle - small': np.float64(154.31), 'white ligaclip cartridge': np.float64(170.17), 'epidural opsite': np.float64(64.16), 'jelly': np.float64(136.2), 'redax bulb set': np.float64(175.17), 'bladder syringe': np.float64(156.31), 'skin glue optima': np.float64(152.31), '3-0 monocryl plus mcp683h': np.float64(106.02), 'artiss machine': np.float64(412.32), 'weislander self retaining retractor': np.float64(108.31), 'patient straps': np.float64(136.2), 'jug': np.float64(77.37), '6x4 swab': np.float64(152.31), 'blood giving set': np.float64(170.17), 'breast headlight': np.float64(416.32), '50 mls luer lock syringe': np.float64(172.17), 'small drapes': np.float64(5.99), 'abdo swab 30x30': np.float64(152.31), 'savlon bottles': np.float64(13.92), 'czerny retractor': np.float64(103.31), 'crepe bandage': np.float64(67.16), 'lead connected': np.float64(103.31), 'butterfly': np.float64(172.17), 'gentamycin 80 mg/2 ml': np.float64(11.92), 'chloraprep™': np.float64(10.13), 'monopolar forceps': np.float64(152.31), 'yellow ligaclip cartridge': np.float64(170.17), 'lanes retractor': np.float64(108.31), 'flowtron boots': np.float64(151.31), 'suction tubing': np.float64(8.99), 'blue surgipad': np.float64(151.31), 'diathermy tip': np.float64(175.17), '2-0 monocryl plus mcp3440g': np.float64(102.02), 'general medium pack': np.float64(4.97), 'diathermy machine': np.float64(446.07), 'major breast tray': np.float64(104.31), 'ceftriaxone 1g': np.float64(13.92), 'tisept': np.float64(14.92), 'camera sleeve': np.float64(151.31), 'elastoplast bandage': np.float64(69.16), 'warm water': np.float64(15.92), 'blue ligaclip cartridge': np.float64(156.31), 'hypodermic green': np.float64(153.31), '2-0 pds plus pdp9133h': np.float64(104.02), 'gutter': np.float64(133.2), 'yankuer suction': np.float64(153.31), 'pencilette': np.float64(151.31), 'safeair diathermy': np.float64(153.31), 'top drape': np.float64(12.89), 'breast sizers': np.float64(122.0), 'surgipad': np.float64(67.16)}",8869.070000000003
239,10926.960000000001,8379.393333333333,"{'tepelring eigen fabrikaat': np.float64(23.32), 'diathermie mes erbe coated': np.float64(7.79), 'yankauer suction': np.float64(174.17), 'bipolar forceps': np.float64(108.31), 'operatiejas l reinforced': np.float64(24.49), '2-0 perma-hand silk 1689h': np.float64(105.02), 'vicryl 2-0 fs-1': np.float64(32.2), 'biopatch': np.float64(67.16), 'xylocaine 1% met adrenaline 1:200.000': np.float64(1.74), 'diathermie met rookafzuigslang': np.float64(6.79), 'pds sh 3-0': np.float64(36.99), '10f blake drain': np.float64(175.17), 'nipple ring': np.float64(124.86), 'dermabond': np.float64(57.6), 'skin marker and ruler': np.float64(153.31), 'plastisch basis net': np.float64(32.7), 'handschoenen': np.float64(25.49), '3-0 stratafix sxmp1b103': np.float64(106.02), 'vicryl 3-0 fs': np.float64(36.2), 'monocryl 3-0 fs1': np.float64(56.91952098894799), 'epiduraalnaald 18 g 4512383': np.float64(8.81), 'breast arm board': np.float64(137.5), 'suction device': np.float64(445.07), 'hypodermic blue': np.float64(151.31), 'light handle - small': np.float64(154.31), 'redax bulb set': np.float64(175.17), 'diathermie naald valleylab': np.float64(7.79), 'bladder syringe': np.float64(156.31), 'skin glue optima': np.float64(152.31), '3-0 monocryl plus mcp683h': np.float64(106.02), 'vicryl 3-0 fs-1': np.float64(29.390339715009063), 'weislander self retaining retractor': np.float64(108.31), 'jug': np.float64(77.37), '14f blake drain': np.float64(174.17), '6x4 swab': np.float64(152.31), 'tray laparotomie': np.float64(36.27), 'abdo swab 30x30': np.float64(152.31), 'vicryl 4-0 fs-2': np.float64(33.985272280033456), 'markeerpen / skin marker': np.float64(16.99), 'spuit 20ml. luer lock': np.float64(7.531425112139999), 'czerny retractor': np.float64(103.31), 'lead connected': np.float64(103.31), 'chloraprep™': np.float64(10.13), 'monopolar forceps': np.float64(152.31), 'blue pencillete': np.float64(170.17), 'lanes retractor': np.float64(110.03293259017771), 'big tegaderm': np.float64(67.16), 'suction tubing': np.float64(8.99), 'blue surgipad': np.float64(151.31), 'major breast tray': np.float64(104.31), '2-0 monocryl plus mcp3440g': np.float64(102.02), 'general medium pack': np.float64(4.97), 'diathermy tip': np.float64(175.17), 'flowtron boots': np.float64(155.67494024196003), 'diathermy machine': np.float64(446.07), 'mediocare washandjes': np.float64(14.39), 'specialisme kar - plastische chirurgie': np.float64(429.92), 'camera sleeve': np.float64(151.31), 'hypodermic green': np.float64(156.31), 'blue ligaclip cartridge': np.float64(156.31), 'monocryl 3-0 fs2': np.float64(33.204909055219915), 'safeair diathermy': np.float64(153.31), 'pencilette': np.float64(151.31), 'top drape': np.float64(9.89), 'mesje nr 10': np.float64(8.92), 'naald roze': np.float64(9.79)}",6779.08933998349
240,20388.64,12371.24857142857,"{'diathermie mes erbe coated': np.float64(5.79), 'redondrain 8': np.float64(15.68), 'operatiejas l standaard': np.float64(23.49), '2-0 perma-hand silk 1689h': np.float64(105.02), 'biopatch': np.float64(67.16), '15f blake drain': np.float64(173.17), '10f blake drain': np.float64(171.17), 'skin marker and ruler': np.float64(153.31), 'handschoenen': np.float64(25.49), '12 ch redondrain+pot 22402': np.float64(33.68), 'hypodermic blue': np.float64(151.31), 'light handle - small': np.float64(154.31), 'epidural opsite': np.float64(64.16), 'redax bulb set': np.float64(175.17), 'diathermie naald valleylab': np.float64(7.79), 'bladder syringe': np.float64(156.31), 'skin glue optima': np.float64(152.31), '2 mls syringe': np.float64(172.17), 'weislander self retaining retractor': np.float64(108.31), 'laparotomietray': np.float64(9.46), 'diathermie met rookafzuigslang verlengd': np.float64(7.79), 'breast headlight': np.float64(416.32), '3-0 vicryl vcp245h': np.float64(107.02), 'onetrac retractor c100110': np.float64(6.79), 'savlon bottles': np.float64(13.92), 'markeerpen / skin marker': np.float64(16.99), 'gentamycin 80 mg/2 ml': np.float64(11.92), 'chloraprep™': np.float64(10.13), 'monopolar forceps': np.float64(156.20721975304716), 'lanes retractor': np.float64(108.31), 'diathermy machine': np.float64(446.07), 'suction tubing': np.float64(8.99), 'blue surgipad': np.float64(151.31), 'diathermy tip': np.float64(175.17), 'general medium pack': np.float64(4.97), 'tisept': np.float64(14.92), 'mediocare washandjes': np.float64(14.39), 'spuit 60 ml cath.tip (kl.blaass.) 300867': np.float64(6.79), 'specialisme kar - plastische chirurgie': np.float64(429.92), '1⁄2 inch steristrip': np.float64(64.16), 'hypodermic green': np.float64(153.31), 'monocryl 3-0 fs2': np.float64(30.33), 'vicryl 3-0 ps26 coated': np.float64(32.01), 'red blunt needle': np.float64(171.17), 'safeair diathermy': np.float64(153.31), 'ethilon 3-0 fs': np.float64(34.2), 'alexis retractor small': np.float64(173.17), 'surgipad': np.float64(67.16), 'tegaderm 10x12 cm': np.float64(37.67), 'yankauer suction': np.float64(174.17), 'bipolar forceps': np.float64(108.31), 'braxon mesh': np.float64(170.17), 'metal ruler': np.float64(429.93), 'vicryl 2-0 ps-1': np.float64(36.01), 'plastisch basis net': np.float64(32.7), '3-0 stratafix sxmp1b103': np.float64(103.02), 'alexis retractor medium': np.float64(175.17), 'breast arm board': np.float64(137.5), 'suction device': np.float64(445.07), '20 mls syringe': np.float64(170.17), 'small opsite': np.float64(69.16), 'betadine 500ml fles': np.float64(12.99), 'microfoam surgical tape': np.float64(68.16), 'jug': np.float64(77.37), 'disposable mamma pasprothese 200 cc': np.float64(15.68), '6x4 swab': np.float64(152.31), 'pink filter hypo': np.float64(172.17), 'abdo swab 30x30': np.float64(152.31), 'zelfkl.zijdoek (100x75)': np.float64(24.89), 'czerny retractor': np.float64(103.31), 'fys.zout 1000 ml fles (nacl)': np.float64(6.91), 'lead connected': np.float64(107.14321505001634), 'lang chirurgisch pincet geïsoleerd': np.float64(33.44), 'mammaprothese algemeen': np.float64(29.09), 'flowtron boots': np.float64(151.31), 'major breast tray': np.float64(104.31), 'ceftriaxone 1g': np.float64(13.92), 'warm water': np.float64(15.92), 'blue ligaclip cartridge': np.float64(156.31), '2-0 pds plus pdp9133h': np.float64(104.02), 'pencilette': np.float64(151.31), 'top drape': np.float64(12.89), 'mayo cover': np.float64(3.98), 'breast sizers': np.float64(122.0), 'disposable mamma pasprothese 260 cc': np.float64(15.68)}",8808.480434803065
29,8701.94,5754.9685714285715,"{'operatiejas l standaard': np.float64(23.49), 'bipolar forceps': np.float64(108.31), 'red hypodermic': np.float64(156.31), '2-0 perma-hand silk 1689h': np.float64(105.02), 'vicryl 2-0 sh': np.float64(53.98), 'zelfkl.largelaken (250x150)': np.float64(7.83), 'skin marker and ruler': np.float64(153.31), 'groot basis net': np.float64(47.72), 'handschoenen': np.float64(25.49), '3-0 stratafix sxmp1b103': np.float64(107.02), '12 ch redondrain+pot 22402': np.float64(33.68), 'breast arm board': np.float64(137.5), 'hypodermic blue': np.float64(151.31), 'light handle - small': np.float64(154.31), 'bladder syringe': np.float64(156.31), 'skin glue optima': np.float64(152.31), '3-0 monocryl plus mcp683h': np.float64(106.02), 'schuursponsje / cautery tip cleaner': np.float64(18.99), 'vicryl 2-0 ct2': np.float64(54.98), 'weislander self retaining retractor': np.float64(109.0891849235292), 'jug': np.float64(77.37), '6x4 swab': np.float64(152.31), 'tray laparotomie': np.float64(36.27), 'buikgazen 40x70cm cutisoft': np.float64(36.48), 'artiss tubing': np.float64(152.31), 'diathermy tip for breast specialty': np.float64(153.31), 'mammanet': np.float64(39.49), 'abdo swab 30x30': np.float64(152.31), 'czerny retractor': np.float64(103.31), 'markeerpen / skin marker': np.float64(16.99), 'lead connected': np.float64(103.31), '20 cm tricot windsel onsteriel': np.float64(36.48), 'chloraprep™': np.float64(10.13), 'monopolar forceps': np.float64(152.31), 'joseph skin hooks': np.float64(108.31), 'lanes retractor': np.float64(108.31), 'flowtron boots': np.float64(151.31), 'suction tubing': np.float64(8.99), 'blue surgipad': np.float64(151.31), 'major breast tray': np.float64(104.31), '2-0 monocryl plus mcp3440g': np.float64(102.02), 'general medium pack': np.float64(7.97), '15 cm synth watten onst.artiflex soft': np.float64(39.132003652929505), 'camera sleeve': np.float64(151.31), 'hypodermic green': np.float64(153.31), 'blue ligaclip cartridge': np.float64(156.31), 'yankuer suction': np.float64(153.31), 'pencilette': np.float64(151.31), 'safeair diathermy': np.float64(153.31), 'diathermie met rookafzuig': np.float64(3.79)}",4789.671188576459
