material_name,Price
Afvalemmer 5 liter - wit - 564000,45.49
"Afvalzakken - 30 liter 68 x 55 cm, 20 x 20 stuks",45.99
Afvalzakken - 30 liter 68 x 55 cm 20 x 20 stuks,47.99
"Baseboy pedaalemmer - inhoud 20 liter, zilver",133.99
Bin afvalemmer 50L - wit - 563000,84.0
"Deksel voor elevation afvalemmer - wit, per stuk - 205630",23.99
"Deksel voor elevation afvalemmer - zwart, per stuk - 205638",23.99
"EcoFLEX recycling - rond, grijs/groen",173.99
HS afvalzak 120 liter groen - 20 x 20 stuks,73.49
"Hygiëne zakjes - zakjes, per 100 stuks",2.89
"Hygiëne zakjes/wandhouder - houder, per stuk",7.79
Kickmaster Classic Line Soft - beige,178.99
Kickmaster Classic Line Soft - rood,219.99
"Plastiqline afvalbak 20 liter met kniebediening - wit, per stuk",117.0
"Plastiqline afvalbak 23 liter open - wit, 23 liter, per stuk",48.49
"Plastiqline afvalbak 43 liter open - wit, per stuk",59.49
"Plastiqline hygienebak 8 liter - wit, per stuk",48.99
"Plastiqline hygienebak 8 liter - zwart, per stuk",51.99
"Plastiqueline hygienebak 23 liter - wit, per stuk",67.0
Tork afvalbak - 20 liter - per stuk - 226100,49.49
"Disposable schort per stuk verpakt - 125 cm, per 100 stuks",14.99
"Disposable schorten in wanddispenser - 107 x 75 cm, per 50 stuks",19.99
"FFP2 maskers - blauw, per 10 stuks",10.49
Foliodress Cap Apart - per 100 stuks,29.49
"Foliodress gown Comfort Basic size L - L, 32 stuks",151.0
Gezichtsbescherming schild - per stuk,"€ 2,99
1 X € 2,25
10 X € 1,99
50 X € 1,85"
Gezichtsbescherming/face shield reserve schermen - per 10 stuks,45.49
"HS disposable schort - 75 x 125 cm, per 100 stuks",8.79
"HS operatiemuts - wit, per 100 stuks",8.79
"Hygienehoezen voor onderzoekslamp - Operatielamphoezen, 10 x 15 cm, 500 stuks",10.99
Infectiepreventie schoenovertrek - 20 stuks,18.99
Mondmasker Maxima Earloop IIR - blauw per 50 stuks,10.79
"Mondmasker Tie On - Type II - Wit, 50 stuks",18.0
"OK - Operatiejas Classic - Medium, 25 stuks",99.0
Onderzoekslamp handvat hoes - per 120 stuks,190.99
Operatielamp handvat beschermhoes - per 200 stuks,415.99
"Operatiemuts model baret - wit, 100 stuks",11.99
Schoenovertrek blauw polyethyleen - Per 100 stuks,7.79
"Schoenovertrek vliesstof - Blauw, 100 stuks (50 paar)",9.29
Unigloves Barett haarkapjes - blauw 100 stuks,12.99
Veiligheidsbril - donker glas,8.79
Veiligheidsbril - geel glas,8.0
"Veiligheidsbril - kleurloos, per stuk",8.0
"Veiligheidsbril - kleurloos, per stuk",7.79
"Veiligheidsbril - kleurloos, per stuk",8.79
Alcohol - 70% fles 100 ml,2.39
Alcohol - 80% fles 2 x 5 liter,47.99
Alcohol 70% - sproeifles 500ml,7.79
Betadine jodium oplossing - fles 30 ml,7.99
Derma LiteCheck® Box handhygiene trainer - per stuk,497.99
"Desderman Care - Fles, 100 ml",4.89
"Desderman Care HyClick - Fles, 500 ml",13.99
Handalcohol 70% - 5 liter can,59.49
"Handalcohol 70% - 500 ml, per stuk",7.79
Handdesinfectie gel S1 - per stuk - 420103,21.49
Maniskin Plus - fles 250 ml,12.49
"Podilon - Fles, 1000 ml",17.0
Podiskin - 15 x 500 ml,99.0
Sterillium® MED gel handdesinfectie - fles 100ml,4.49
Sterillium® MED handdesinfectie - fles 1 liter,12.99
Sterillium® MED handdesinfectie - fles 100ml,4.39
Sterillium® MED handdesinfectie - fles 500ml,8.29
Visirub tube 10ml t.b.v. Derma LiteCheck Box - tube van 10ml,8.29
,
,
,14.79
Cleanisept Wipes Maxi - 1 pak à 100 doekjes,12.49
Dismofix G - 1 liter fles,4.69
"EuroSept Plus Surface Foam Cleaner - Flacon, 1 liter",17.99
