Category,Subcategory,material_name,price,Product Link
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",HSG Catheters & Trays,HSG Catheters with Balloon (Box of 10),"Original price
$240.00
Current price
$165.00",https://www.mpmmedicalsupply.com/collections/hsg-catheters-and-trays/products/hs-catheter
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",HSG Catheters & Trays,Shapeable HSG Catheters (Box of 10),$295.00,https://www.mpmmedicalsupply.com/collections/hsg-catheters-and-trays/products/shapeable-hs-catheter
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",HSG Catheters & Trays,eZInject Sonohysterography Catheters (Box of 10),$240.00,https://www.mpmmedicalsupply.com/collections/hsg-catheters-and-trays/products/ezinject-catheter
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",HSG Catheters & Trays,HSG Procedure Tray (Box of 10),"Original price
$530.00
$320.00 - $565.00",https://www.mpmmedicalsupply.com/collections/hsg-catheters-and-trays/products/hsg-tray
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",HSG Catheters & Trays,Steen Open-Tip HSG Catheters (Box of 10),$265.00,https://www.mpmmedicalsupply.com/collections/hsg-catheters-and-trays/products/steen-open-tip-hs-catheter
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",IUD Insertion & Removal Kits,Disposable IUD Insertion & Removal Kit (Box of 10),"Original price
$330.00
Current price
$275.00",https://www.mpmmedicalsupply.com/collections/iud-insertion-removal-kits/products/disposable-iud-insertion-removal-kit-box-of-10
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",Uterine Manipulators,Uterine Manipulator / Injector (Box of 12),"Original price
$395.00
Current price
$365.00",https://www.mpmmedicalsupply.com/collections/uterine-manipulators/products/uterine-manipulator-injector
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",Uterine Manipulators,K-UMI Uterine Manipulator / Injector (Box of 12),"Original price
$390.00
Current price
$350.00",https://www.mpmmedicalsupply.com/collections/uterine-manipulators/products/k-umi-uterine-manipulator
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",Speculum,Graves Vaginal Speculum,$45.00 - $75.00,https://www.mpmmedicalsupply.com/collections/speculum/products/graves-vaginal-speculum
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",Speculum,Pederson Vaginal Speculum,$45.00 - $75.00,https://www.mpmmedicalsupply.com/collections/speculum/products/pederson-vaginal-speculum
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",Speculum,Collin Vaginal Speculum,$65.00 - $75.00,https://www.mpmmedicalsupply.com/collections/speculum/products/collin-vaginal-speculum
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",Speculum,Wide View Graves Vaginal Speculum,$69.00,https://www.mpmmedicalsupply.com/collections/speculum/products/wide-view-graves-vaginal-speculum
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",Speculum,Welch Allyn KleenSpec® 590 Series Disposable Vaginal Speculum (Box Qty.),$240.00 - $295.00,https://www.mpmmedicalsupply.com/collections/speculum/products/kleenspec-590-series-disposable-vaginal-specula
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",Speculum,Weisman-Graves Vaginal Speculum,$69.00,https://www.mpmmedicalsupply.com/collections/speculum/products/weisman-graves-vaginal-speculum
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",Speculum,Welch Allyn KleenSpec® Disposable Vaginal Specula Cordless Illuminator with Charging Station,$425.00,https://www.mpmmedicalsupply.com/collections/speculum/products/welch-allyn-kleenspec-disposable-vaginal-specula-cordless-illuminator-with-charging-station
"OBGYN / Infertility
HSG Catheters & Trays
IUD Insertion Kits
IUI Catheters
View All...",Speculum,Graves Non-Conductive Vaginal Speculum,$110.00 - $175.00,https://www.mpmmedicalsupply.com/collections/speculum/products/graves-non-conductive-speculum
