organization_id,OrganizationName,specialty,procedure_id,procedure_name,protocol_id,protocol_name,status,codes,material_id,material_name,material_type,material_subtype,manufacturer,price,hold,article_number,surgeon_specific_action,surgeon_name,surgeon_surname
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77814,large drapes,DISPOSABLE,DRAPING,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77815,small drapes,DISPOSABLE,DRAPING,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77820,blade 10,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77821,blade 15,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77831,diathermy machine,OTHER,DEVICE,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77852,pack 4x4,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77855,suction tubing,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77899,pledgets/lamis,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77903,jp drain,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77943,receivers and gallipots,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77944,light handle,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77963,suction device,OTHER,DEVICE,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78023,colorado needle,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78064,magnetic mats,INSTRUMENT,,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78079,steri-strips,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78246,soft tissue tray,INSTRUMENT,,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78312,thyroid tray,INSTRUMENT,,,,1,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78327,bupivacaine 0.25% with adrenaline,DISPOSABLE,LIQUIDS_MEDICINES,,,1,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78416,yankauer sucker,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78502,bone cutters,INSTRUMENT,,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78505,2-0 polysorb ties,DISPOSABLE,SUTURES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78507,medium ligaclips,DISPOSABLE,OTHER_DISPOSABLES,,,1,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,81010,disposable monopolar,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,,
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77814,large drapes,DISPOSABLE,DRAPING,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77815,small drapes,DISPOSABLE,DRAPING,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77820,blade 10,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77821,blade 15,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77831,diathermy machine,OTHER,DEVICE,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77852,pack 4x4,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77855,suction tubing,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77899,pledgets/lamis,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77903,jp drain,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77943,receivers and gallipots,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77944,light handle,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,77963,suction device,OTHER,DEVICE,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78023,colorado needle,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78064,magnetic mats,INSTRUMENT,,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78079,steri-strips,DISPOSABLE,OTHER_DISPOSABLES,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78246,soft tissue tray,INSTRUMENT,,,,0,,DEFAULT,Sean,Loughran
68ef72ba-2115-4f3e-bef8-a8236add4590,Salford Royal Hospital,EAR_NOSE_THROAT,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,6899,Excision of Thyroglossal Cyst or Sistrunk Procedure,Published,,78312,thyroid tray,INSTRUMENT,,,,1,,DEFAULT,Sean,Loughran
