material_id,material_name,material_original_price,material_optimized_price,material_type,material_subtype,specialty,procedure_id,procedure_name,procedure_original_cost,procedure_optimized_cost,price_source,surgeon_fullname,surgeon_specific_action
<<<<<<< HEAD
77943,receivers and gallipots,10.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
78079,steri-strips,8.99,8.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
77852,pack 4x4,13.99,7.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
78246,soft tissue tray,131.1,129.1,INSTRUMENT,missing,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
77899,pledgets/lamis,11.99,6.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
77944,light handle,16.99,11.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
77903,jp drain,9.99,6.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
78505,2-0 polysorb ties,48.74,43.74,DISPOSABLE,SUTURES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
77820,blade 10,10.99,10.99,DISPOSABLE,OTHER_DISPOSABLES,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
77815,small drapes,6.99,5.99,DISPOSABLE,DRAPING,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
77963,suction device,445.07,445.07,OTHER,DEVICE,,1,Excision of Thyroglossal Cyst or Sistrunk Procedure,3294.7599999999998,1583.38,historical,unknown,DEFAULT
