epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.94416,1.2764,5.15788,1.32501,0,0,0,0,0,0,0,2.56e-06,2.56e-06,2.56e-06
2,3.52448,1.37434,5.24556,1.2941,0,0,0,0,0,0,0,6.0832e-06,6.0832e-06,6.0832e-06
3,5.14965,1.33337,5.22921,1.33925,0,0,0,0,0,0,0,9.22624e-06,9.22624e-06,9.22624e-06
4,6.74333,1.27758,5.1523,1.31957,0,0,0,0,0,0,0,1.19891e-05,1.19891e-05,1.19891e-05
5,8.29784,1.44037,5.1975,1.43727,0,0,0,0,0,0,0,1.43718e-05,1.43718e-05,1.43718e-05
6,9.88684,1.30042,5.24885,1.33784,0,0,0,0,0,0,0,1.63744e-05,1.63744e-05,1.63744e-05
7,11.4214,1.2511,5.10602,1.34924,0,0,0,0,0,0,0,1.79968e-05,1.79968e-05,1.79968e-05
8,13.2047,1.2988,5.34192,1.29611,0,0,0,0,0,0,0,1.9239e-05,1.9239e-05,1.9239e-05
9,14.8975,1.20522,5.20961,1.2568,0,0,0,0,0,0,0,2.01011e-05,2.01011e-05,2.01011e-05
10,16.5512,1.31859,5.17395,1.33585,0,0,0,0,0,0,0,2.0583e-05,2.0583e-05,2.0583e-05
11,18.2049,1.19878,5.11054,1.2588,0,0,0,0,0,0,0,2.06848e-05,2.06848e-05,2.06848e-05
12,19.7311,1.25244,5.11476,1.30929,0,0,0,0,0,0,0,2.04064e-05,2.04064e-05,2.04064e-05
13,21.2843,1.54547,5.25307,1.31805,0,0,0,0,0,0,0,1.97478e-05,1.97478e-05,1.97478e-05
14,22.8427,1.34143,5.06509,1.25885,0,0,0,0,0,0,0,1.87091e-05,1.87091e-05,1.87091e-05
15,24.3736,1.16655,5.13028,1.20993,0,0,0,0,0,0,0,1.72902e-05,1.72902e-05,1.72902e-05
16,25.8801,1.19259,5.09596,1.26523,0,0,0,0,0,0,0,1.54912e-05,1.54912e-05,1.54912e-05
17,27.3972,1.19357,5.1482,1.21703,0,0,0,0,0,0,0,1.3312e-05,1.3312e-05,1.3312e-05
18,29.0261,1.2272,5.25342,1.14673,0,0,0,0,0,0,0,1.07526e-05,1.07526e-05,1.07526e-05
19,30.5875,1.16575,5.06956,1.14365,0,0,0,0,0,0,0,7.81312e-06,7.81312e-06,7.81312e-06
20,35.8308,1.27419,5.13797,1.22039,0,0,0,0,1.71204,5.14903,1.47991,4.49344e-06,4.49344e-06,4.49344e-06
